Fwy	District	County	City	State PM	Abs PM	Length	ID	Name	Lanes	Type	HOV	Traffic.com ID
SR201-W	1	Salt Lake		14.43	14.43	.36	340	WB SR-201 @ I-215-W (WEST SIDE)	3	Mainline	No	24687
SR201-W	1	Salt Lake		14.43	14.43		1340	WB SR 201 from SB I-215 Connecto	1	Fwy-Fwy	No	24494
SR201-W	1	Salt Lake		14.74	14.74	.37	338	SR 201 WB @ East side of I-215	3	Mainline	No	24629
SR201-W	1	Salt Lake		14.74	14.74		3338	SR 201 WB from NB I-215 Connecto	1	Fwy-Fwy	No	24796
SR201-W	1	Salt Lake		15.17	15.17	.37	336	WB SR 201 @ 1800 W	3	Mainline	No	34132
SR201-W	1	Salt Lake		15.17	15.17		3336	WB SR 201 to I-215 NB Connector	2	Fwy-Fwy	No	34219
SR201-W	1	Salt Lake		15.17	15.17		1336	WB SR 201 @ Redwood Road Onramp	1	On Ramp	No	34222
SR201-W	1	Salt Lake		15.48	15.48	.34	334	WB SR 201 @ 1600 W	3	Mainline	No	34131
SR201-W	1	Salt Lake		15.85	15.85	.405	333	WB SR 201 @ 1300 W	4	Mainline	No	24571
SR201-W	1	Salt Lake		16.29	16.29	.395	332	WB SR-201 @ 900 W	3	Mainline	No	24411
SR201-W	1	Salt Lake		16.31	16.31		1332	WB SR-201 @ 900 w (ON RAMP)	2	On Ramp	No	24495
SR201-W	1	Salt Lake		16.64	16.64	.462	330	WB SR-201 @ 800 W	2	Mainline	No	24716
SR201-W	1	Salt Lake		16.66	16.66		1330	WB SR-201 @ 700 W (ON RAMP)	1	On Ramp	No	24428
SR201-W	1	Salt Lake		16.67	16.67		3330	WB SR-201 FROM SB I-15 COL	1	Fwy-Fwy	No	24947
I215-Clockwise	1	Salt Lake		0.67	.67	1.019	1	SB I-215-E @ FOOTHILL	2	Mainline	No	24669
I215-Clockwise	1	Salt Lake		1.30	1.3		1002	SB I-215-E FROM WB I-80 CONNECTO	1	Fwy-Fwy	No	24894
I215-Clockwise	1	Salt Lake		1.32	1.32	.665	2	SB I-215-E @ MOUTH OF PARLEYS CY	3	Mainline	No	24719
I215-Clockwise	1	Salt Lake		1.78	1.78		1004	SB I-215-E @ 3300 S (ON RAMP)	1	On Ramp	No	24809
I215-Clockwise	1	Salt Lake		1.82	1.82		2004	SB I-215-E @ 3300 S (OFF RAMP)	1	Off Ramp	No	24458
I215-Clockwise	1	Salt Lake		2.00	2	.655	4	SB I-215-E @ 3300 S	3	Mainline	No	24538
I215-Clockwise	1	Salt Lake		2.63	2.63		2006	SB I-215-E @ 3900 S (OFF RAMP)	1	Off Ramp	No	24344
I215-Clockwise	1	Salt Lake		2.63	2.63	.475	6	SB I-215-E @ 3850 S	3	Mainline	No	24497
I215-Clockwise	1	Salt Lake		2.95	2.95		1009	SB I-215-E @ 3900 S (ON RAMP)	1	Off Ramp	No	24474
I215-Clockwise	1	Salt Lake		2.95	2.95	.44	9	SB I-215-E @ 3920 S	3	Mainline	No	24553
I215-Clockwise	1	Salt Lake		3.51	3.51	.465	11	SB I-215-E SB @ 4500 S	3	Mainline	No	24928
I215-Clockwise	1	Salt Lake		3.51	3.51		2011	SB I-215-E @ 4500 S (OFF RAMP)	1	Off Ramp	No	24322
I215-Clockwise	1	Salt Lake		3.68	3.68		1013	SB I-215-E @ 4550 S (ON RAMP)	1	On Ramp	No	24647
I215-Clockwise	1	Salt Lake		3.88	3.88	.26	13	SB I-215-E SB @ 4550 S	3	Mainline	No	24970
I215-Clockwise	1	Salt Lake		4.03	4.03	.39	14	SB I-215-E  SB @ 4800 S	3	Mainline	No	24291
I215-Clockwise	1	Salt Lake		4.66	4.66	.75	15	SB I-215-E @ 5100 S	3	Mainline	No	24665
I215-Clockwise	1	Salt Lake		5.53	5.53	.77	16	SB I-215-E SB @ 5500 S	3	Mainline	No	24558
I215-Clockwise	1	Salt Lake		6.18	6.18		2017	SB I-215-E @ 6200 S (OFF RAMP)	2	Off Ramp	No	24929
I215-Clockwise	1	Salt Lake		6.20	6.2	.45	17	SB I-215-E @ 6200 S	3	Mainline	No	24775
I215-Clockwise	1	Salt Lake		6.43	6.43	.515	20	SB I-215-E @ 6220 S	3	Mainline	No	24310
I215-Clockwise	1	Salt Lake		6.44	6.44		1020	WB I-215-S @ 6200 S (ON RAMP)	2	On Ramp	No	24722
I215-Clockwise	1	Salt Lake		7.23	7.23	.555	22	WB I-215-S @ 2300 E	3	Mainline	No	24533
I215-Clockwise	1	Salt Lake		7.54	7.54		2024	WB I-215-S @ 2000 E (OFF RAMP)	1	Off Ramp	No	24377
I215-Clockwise	1	Salt Lake		7.54	7.54	.32	24	WB I-215-S @ 2050 E	3	Mainline	No	24401
I215-Clockwise	1	Salt Lake		7.86	7.86		1024	WB I-215-S @ 2000 E SB (ON RAMP)	1	On Ramp	No	24556
I215-Clockwise	1	Salt Lake		7.86	7.86		1025	WB I-215-S @ NB 2000 E (COLLECTO	2	On Ramp	No	24518
I215-Clockwise	1	Salt Lake		7.87	7.87	.385	25	WB I-215-S @ 1950 E	3	Mainline	No	24633
I215-Clockwise	1	Salt Lake		8.31	8.31	.49	26	WB I-215-S @ 1700 E	4	Mainline	No	24625
I215-Clockwise	1	Salt Lake		8.85	8.85	.415	27	WB I-215-S @ 1300 E	3	Mainline	No	24758
I215-Clockwise	1	Salt Lake		9.14	9.14		2028	WB I-215-S @ UNION PARK (OFF RAM	1	Off Ramp	No	24866
I215-Clockwise	1	Salt Lake		9.14	9.14	.41	28	WB I-215-S @ UNION PARK	3	Mainline	No	24521
I215-Clockwise	1	Salt Lake		9.23	9.23		1031	WB I-215-S @ NB UNION PARK (ON R	2	On Ramp	No	24532
I215-Clockwise	1	Salt Lake		9.24	9.24		3031	WB I-215-S @ SB UNION PARK (ON R	1	On Ramp	No	24285
I215-Clockwise	1	Salt Lake		9.67	9.67	.495	31	WB I-215-S @ 700 E	5	Mainline	No	24327
I215-Clockwise	1	Salt Lake		10.13	10.13		2033	WB I-215-S @ 300 E (OFF RAMP)	2	Off Ramp	No	24385
I215-Clockwise	1	Salt Lake		10.13	10.13	.47	33	WB I-215-S @ 300 E	3	Mainline	No	25003
I215-Clockwise	1	Salt Lake		10.59	10.59		1034	WB I-215-S @ 300 E (ON RAMP)	2	On Ramp	No	24605
I215-Clockwise	1	Salt Lake		10.61	10.61	.545	34	WB I-215-S @ 260 E	3	Mainline	No	24912
I215-Clockwise	1	Salt Lake		11.22	11.22		1035	WB I-215-S @ 300 W to NB/SB I-15	2	Off Ramp	No	45294
I215-Clockwise	1	Salt Lake		11.22	11.22	.6	35	WB I-215-S @ 300 W	3	Mainline	No	45312
I215-Clockwise	1	Salt Lake		11.69	11.69		3547	WB I-215-S TO SB I-15 COL	2	Fwy-Fwy	No	24982
I215-Clockwise	1	Salt Lake		11.81	11.81	.915	38	WB I-215-S @ 700 W	5	Mainline	No	24733
I215-Clockwise	1	Salt Lake		13.05	13.05	.84	43	WB I-215-S @ 1300 W	5	Mainline	No	24704
I215-Clockwise	1	Salt Lake		13.45	13.45		2045	WB I-215-S @ REDWOOD RD (OFF RAM	3	Off Ramp	No	24481
I215-Clockwise	1	Salt Lake		13.49	13.49	.345	45	WB I-215-S @ 1650 W	4	Mainline	No	24830
I215-Clockwise	1	Salt Lake		13.50	13.5		1045	WB I-215-S @ NB REDWOOD RD (ON R	1	On Ramp	No	24560
I215-Clockwise	1	Salt Lake		13.74	13.74		1046	WB I-215-S @ SB REDWOOD RD (ON R	1	On Ramp	No	24887
I215-Clockwise	1	Salt Lake		13.74	13.74	.28	46	WB I-215-S @ 1750 W	5	Mainline	No	24564
I215-Clockwise	1	Salt Lake		14.05	14.05	.405	48	WB I-215-S @ 2200 W	5	Mainline	No	24392
I215-Clockwise	1	Salt Lake		14.55	14.55	.465	50	NB I-215-W @ 5400 S	4	Mainline	No	24599
I215-Clockwise	1	Salt Lake		14.98	14.98	.44	52	NB I-215-W @ 5100 S	4	Mainline	No	24457
I215-Clockwise	1	Salt Lake		15.39	15.39		2053	NB I-215-W @ 4700 S (OFF RAMP)	2	Off Ramp	No	24437
I215-Clockwise	1	Salt Lake		15.43	15.43	.305	53	NB I-215-W @ 4720 S	4	Mainline	No	24650
I215-Clockwise	1	Salt Lake		15.44	15.44		1053	NB I-215-W @ EB 4700 S (ON RAMP)	1	On Ramp	No	24820
I215-Clockwise	1	Salt Lake		15.59	15.59	.37	54	NB I-215-W @ 4700 S	4	Mainline	No	24544
I215-Clockwise	1	Salt Lake		15.62	15.62		1054	NB I-215-W @ WB 4700 S (ON RAMP)	1	On Ramp	No	24825
I215-Clockwise	1	Salt Lake		16.17	16.17	.635	56	NB I-215-W @ 4200 S	4	Mainline	No	24259
I215-Clockwise	1	Salt Lake		16.86	16.86	.685	57	NB I-215-W @ 3900 S	4	Mainline	No	24767
I215-Clockwise	1	Salt Lake		17.54	17.54	.68	58	NB I-215-W @ 3550 S	4	Mainline	No	24992
I215-Clockwise	1	Salt Lake		17.64	17.64		2062	NB I-215-W @ WB 3500 S (OFF RAMP	1	Off Ramp	No	24297
I215-Clockwise	1	Salt Lake		18.22	18.22	.59	63	NB I-215-W @ 2800 S	4	Mainline	No	24735
I215-Clockwise	1	Salt Lake		18.72	18.72	.51	64	NB -I215-W @ 2600 S	4	Mainline	No	24299
I215-Clockwise	1	Salt Lake		19.24	19.24	.785	65	NB I-215-W @ 2100 S	4	Mainline	No	24329
I215-Clockwise	1	Salt Lake		19.24	19.24		2065	NB I-215-W TO EB SR-201 CONNECTO	1	Fwy-Fwy	No	24791
I215-Clockwise	1	Salt Lake		19.75	19.75		1067	WB SR-201 TO NB I-215-W CONNECTO	1	Fwy-Fwy	No	24238
I215-Clockwise	1	Salt Lake		20.29	20.29	.705	69	NB I-215-W @ CALIFORNIA	4	Mainline	No	24999
I215-Clockwise	1	Salt Lake		20.29	20.29		2069	NB I-215-W @ CALIFORNIA AVE (OFF	1	Off Ramp	No	24572
I215-Clockwise	1	Salt Lake		20.65	20.65	.47	71	NB I-215-W @ 1250 S	4	Mainline	No	24855
I215-Clockwise	1	Salt Lake		20.65	20.65		1071	NB I-215-W @ CALIFORNIA AVE (ON	1	On Ramp	No	24332
I215-Clockwise	1	Salt Lake		21.23	21.23	.82	73	NB I-215-W @ 900 S	5	Mainline	No	24376
I215-Clockwise	1	Salt Lake		21.75	21.75		2074	NB I-215-W @ REDWOOD RD CON	2	Fwy-Fwy	No	24306
I215-Clockwise	1	Salt Lake		22.28	22.28		1076	EB I-80 TO NB I-215-W CONNECTOR	1	Fwy-Fwy	No	24583
I215-Clockwise	1	Salt Lake		22.29	22.29	.785	76	NB I-215-W @ I-80-W INTERCHANGE	3	Mainline	No	24316
I215-Clockwise	1	Salt Lake		22.80	22.8		1079	NB I-215-W @ I-80 & REDWOOD RD C	1	Fwy-Fwy	No	24755
I215-Clockwise	1	Salt Lake		22.80	22.8	.53	79	NB I-215-W @ 100 N / SR-186 / No	3	Mainline	No	24757
I215-Clockwise	1	Salt Lake		23.35	23.35	.355	80	NB I-215-W @ 500 N	3	Mainline	No	24740
I215-Clockwise	1	Salt Lake		23.35	23.35		2080	NB I-215-W @ 700 N (OFF RAMP)	1	Off Ramp	No	24522
I215-Clockwise	1	Salt Lake		23.51	23.51	.255	82	NB I-215-W @ 650 N	3	Mainline	No	24944
I215-Clockwise	1	Salt Lake		23.86	23.86	.46	84	NB I-215-W @ 750 N	3	Mainline	No	24356
I215-Clockwise	1	Salt Lake		23.86	23.86		1084	NB I-215-W @ 700 N (ON RAMP)	1	On Ramp	No	24462
I215-Clockwise	1	Salt Lake		24.43	24.43	.52	85	NB I-215-W @1200 N	3	Mainline	No	24868
I215-Clockwise	1	Salt Lake		24.90	24.9	.45	86	NB I-215-W @ 1400 N	3	Mainline	No	25001
I215-Clockwise	1	Salt Lake		25.33	25.33	.7	87	NB I-215-W @ 2100 N	3	Mainline	No	24690
I215-Clockwise	1	Salt Lake		25.33	25.33		2087	NB I-215-W @ 2200 N (OFF RAMP)	1	Off Ramp	No	24978
I215-Clockwise	1	Salt Lake		26.30	26.3	.72	91	NB I-215-W @ 2500 N	4	Mainline	No	24568
I215-Clockwise	1	Salt Lake		26.77	26.77	.235	2092	NB I-215/Legacy Parkway @ 3000 N	2	Mainline	No	
I215-Clockwise	1	Salt Lake		26.77	26.77	.178	92	NB I-215-W @ 3000 N	3	Mainline	No	24966
I215-Clockwise	1	Davis		27.22	27.22		2093	NB I-215-W @ NORTH REDWOOD RD (O	1	Off Ramp	No	24482
I215-Clockwise	1	Davis		27.22	27.22	.647	93	NB I-215-W @ REDWOOD RD	2	Mainline	No	24948
I215-Clockwise	1	Davis		27.97	27.97	.665	95	EB I-215-W @ NORTH REDWOOD RD SP	2	Mainline	No	24899
I215-Clockwise	1	Davis		27.97	27.97		1095	NB I-215-W @ NORTH REDWOOD RD (O	1	On Ramp	No	24994
I215-Clockwise	1	Davis		28.55	28.55	.456	97	EB I-215-W @ 900 W	2	Mainline	No	24422
I215-Counterclockwise	1	Salt Lake		0.67	.67	.988	193	NB I-215-E (WB) @ FOOTHILL	2	Mainline	No	24242
I215-Counterclockwise	1	Salt Lake		0.75	.75		2193	NB I-215-E @ FOOTHILL (OFF RAMP)	2	Off Ramp	No	24282
I215-Counterclockwise	1	Salt Lake		1.29	1.29		1192	NB I-215-E FROM WB I-80 CONNECTO	1	Fwy-Fwy	No	24936
I215-Counterclockwise	1	Salt Lake		1.30	1.3		2192	NB I-215-E TO EB I-80 CONNECTOR	1	Fwy-Fwy	No	24819
I215-Counterclockwise	1	Salt Lake		1.32	1.32	.57	192	NB I-215-E @ MOUTH OF PARLEYS CY	3	Mainline	No	24507
I215-Counterclockwise	1	Salt Lake		1.75	1.75		1190	NB I-215-E @ 3300 S (ON RAMP)	2	On Ramp	No	24703
I215-Counterclockwise	1	Salt Lake		1.81	1.81	.535	190	NB I-215-E @ 3300 S	3	Mainline	No	24915
I215-Counterclockwise	1	Salt Lake		2.39	2.39		1188	NB I-215-E @ MILLCREEK RD (ON RA	1	On Ramp	No	24774
I215-Counterclockwise	1	Salt Lake		2.39	2.39	.5	188	NB I-215-E @ 3800 S	3	Mainline	No	24765
I215-Counterclockwise	1	Salt Lake		2.80	2.8		1186	NB I-215-E @ 3900 S (ON RAMP)	1	On Ramp	No	24365
I215-Counterclockwise	1	Salt Lake		2.81	2.81	.385	186	NB I-215-E @ 3900 S	3	Mainline	No	24541
I215-Counterclockwise	1	Salt Lake		3.09	3.09		2183	NB I-215-E @ 3900 S (OFF RAMP)	2	Off Ramp	No	41510
I215-Counterclockwise	1	Salt Lake		3.16	3.16	.35	183	NB I-215-E @ 4100 S	3	Mainline	No	24303
I215-Counterclockwise	1	Salt Lake		3.51	3.51	.435	182	NB I-215-E @ 4500 S	3	Mainline	No	24597
I215-Counterclockwise	1	Salt Lake		4.03	4.03	.575	181	NB I-215-E @ 4800 S	3	Mainline	No	24699
I215-Counterclockwise	1	Salt Lake		4.66	4.66	.75	180	NB I-215-E @ 5100 S	3	Mainline	No	24670
I215-Counterclockwise	1	Salt Lake		5.53	5.53	.77	179	NB I-215-E @ 5500 S	3	Mainline	No	24366
I215-Counterclockwise	1	Salt Lake		6.20	6.2		1178	NB I-215-E @ 6200 S (ON RAMP)	1	On Ramp	No	24520
I215-Counterclockwise	1	Salt Lake		6.20	6.2	.545	178	NB I-215-E @ 6200 S	3	Mainline	No	24505
I215-Counterclockwise	1	Salt Lake		6.61	6.61		2176	EB I-215-S @ 6200 S (OFF RAMP)	2	Off Ramp	No	24676
I215-Counterclockwise	1	Salt Lake		6.62	6.62	.47	176	NB I-215-E @ 6200 S	3	Mainline	No	24573
I215-Counterclockwise	1	Salt Lake		7.14	7.14	.46	175	EB I-215-S @ 2300 E	3	Mainline	No	24264
I215-Counterclockwise	1	Salt Lake		7.54	7.54	.41	173	EB I-215-S @ 2050 E	3	Mainline	No	24639
I215-Counterclockwise	1	Salt Lake		7.54	7.54		1173	EB I-215-S @ 2000 E (ON RAMP)	1	On Ramp	No	24785
I215-Counterclockwise	1	Salt Lake		7.95	7.95		2172	EB I-215-S @ 2000 E (OFF RAMP)	2	Off Ramp	No	24810
I215-Counterclockwise	1	Salt Lake		7.96	7.96	.385	172	EB I-215-S @ 1950 E	3	Mainline	No	24919
I215-Counterclockwise	1	Salt Lake		8.31	8.31	.41	170	EB I-215-S @ 1700 E	4	Mainline	No	24301
I215-Counterclockwise	1	Salt Lake		8.78	8.78	.415	169	EB I-215-S @ 1300 E	3	Mainline	No	24918
I215-Counterclockwise	1	Salt Lake		9.14	9.14		1168	EB I-215-S @ UNION PARK (EB ON R	1	On Ramp	No	24340
I215-Counterclockwise	1	Salt Lake		9.14	9.14	.43	168	EB I-215-S @ UNION PARK	3	Mainline	No	24766
I215-Counterclockwise	1	Salt Lake		9.64	9.64	.495	165	EB I-215-S @ 700 E	3	Mainline	No	24965
I215-Counterclockwise	1	Salt Lake		9.64	9.64		2165	EB I-215-S @ UNION PARK (SB OFF	2	Off Ramp	No	24836
I215-Counterclockwise	1	Salt Lake		10.13	10.13	.485	164	EB I-215-S @ 300 E	4	Mainline	No	25000
I215-Counterclockwise	1	Salt Lake		10.61	10.61	.55	162	EB I-215-S @ STATE ST	3	Mainline	No	24403
I215-Counterclockwise	1	Salt Lake		10.68	10.68		2162	EB I-215-S @ STATE ST (OFF RAMP)	3	Off Ramp	No	24319
I215-Counterclockwise	1	Salt Lake		11.23	11.23	.6	160	EB I-215-S @ 300 W	4	Mainline	No	45332
I215-Counterclockwise	1	Salt Lake		11.81	11.81	.91	157	EB I-215-S @ 700 W	4	Mainline	No	24901
I215-Counterclockwise	1	Salt Lake		13.05	13.05	.76	154	EB I-215-S @ 1300 W	5	Mainline	No	24693
I215-Counterclockwise	1	Salt Lake		13.33	13.33	.24	152	EB I-215 S @1650 W	5	Mainline	No	24753
I215-Counterclockwise	1	Salt Lake		13.40	13.4		1152	EB I-215-S @ NB REDWOOD RD (ON R	1	On Ramp	No	24850
I215-Counterclockwise	1	Salt Lake		13.52	13.52		1151	EB I-215-S @ SB REDWOOD RD (ON R	1	On Ramp	No	24574
I215-Counterclockwise	1	Salt Lake		13.53	13.53	.36	151	EB I-215-S @ 1750 W	4	Mainline	No	24472
I215-Counterclockwise	1	Salt Lake		13.58	13.58		2151	EB I-215-S @ REDWOOD RD (OFF RAM	2	Off Ramp	No	24535
I215-Counterclockwise	1	Salt Lake		14.05	14.05	.51	149	EB I-215-S @ 2200 W	5	Mainline	No	24404
I215-Counterclockwise	1	Salt Lake		14.55	14.55	.465	147	SB I-215-W @ 5400 S	5	Mainline	No	24298
I215-Counterclockwise	1	Salt Lake		14.98	14.98	.52	145	SB I-215-W @ 5100 S	5	Mainline	No	24375
I215-Counterclockwise	1	Salt Lake		15.59	15.59	.595	143	SB I-215-W @ 4700 S	4	Mainline	No	24980
I215-Counterclockwise	1	Salt Lake		16.17	16.17	.635	142	SB I-215-W @ 4200 S	4	Mainline	No	24524
I215-Counterclockwise	1	Salt Lake		16.86	16.86	.685	141	SB I-215-W @ 3900 S	4	Mainline	No	24523
I215-Counterclockwise	1	Salt Lake		17.54	17.54	.68	139	SB I-215-W @ 3550 S	4	Mainline	No	24902
I215-Counterclockwise	1	Salt Lake		18.22	18.22	.59	136	SB I-215-W @ 2800 S	4	Mainline	No	24272
I215-Counterclockwise	1	Salt Lake		18.72	18.72	.51	135	SB I-215-W @ 2600 S	4	Mainline	No	24305
I215-Counterclockwise	1	Salt Lake		19.24	19.24		1134	EB SR-201 TO SB I-215-W CONNECTO	1	Fwy-Fwy	No	24237
I215-Counterclockwise	1	Salt Lake		19.24	19.24	.785	134	SB I-215-W @ 2150 S	4	Mainline	No	24519
I215-Counterclockwise	1	Salt Lake		19.75	19.75		2132	SB I-215-W TO WB SR-201 CONNECTO	1	Fwy-Fwy	No	24771
I215-Counterclockwise	1	Salt Lake		20.28	20.28		1129	SB I-215-W @ CALIFORNIA AVE (ON	1	On Ramp	No	24811
I215-Counterclockwise	1	Salt Lake		20.29	20.29	.705	129	SB I-215-W @ CALIFORNIA	4	Mainline	No	24782
I215-Counterclockwise	1	Salt Lake		20.65	20.65	.47	127	SB I-215-W @ 1250 S	4	Mainline	No	24529
I215-Counterclockwise	1	Salt Lake		20.68	20.68		2127	SB I-215-W @ CALIFORNIA AVE (OFF	1	Off Ramp	No	24686
I215-Counterclockwise	1	Salt Lake		21.23	21.23	.82	126	SB I-215-W @ 900 S	5	Mainline	No	24279
I215-Counterclockwise	1	Salt Lake		22.29	22.29	.785	120	SB I-215-W @ I-80 INTERCHANGE	3	Mainline	No	24610
I215-Counterclockwise	1	Salt Lake		22.30	22.3		2120	SB I-215-W TO EB I-80 COL	1	Fwy-Fwy	No	24278
I215-Counterclockwise	1	Salt Lake		22.44	22.44		3120	WB REDWOOD RD ON RAMP TO SB I-21	1	On Ramp	No	24277
I215-Counterclockwise	1	Salt Lake		22.80	22.8		2119	SB I-215-W TO WB I-80 COL	1	Fwy-Fwy	No	24424
I215-Counterclockwise	1	Salt Lake		22.80	22.8	.53	119	SB I-215-W @ 100 N	3	Mainline	No	24407
I215-Counterclockwise	1	Salt Lake		23.35	23.35	.355	117	SB I-215-W @ 600 N	3	Mainline	No	24354
I215-Counterclockwise	1	Salt Lake		23.35	23.35		1117	SB I-215-W @ 600 N (ON RAMP)	1	On Ramp	No	39388
I215-Counterclockwise	1	Salt Lake		23.51	23.51	.255	115	SB I-215-W @ 650 N	3	Mainline	No	24248
I215-Counterclockwise	1	Salt Lake		23.86	23.86	.46	114	SB I-215-W @ 750 N	3	Mainline	No	24697
I215-Counterclockwise	1	Salt Lake		23.86	23.86		2114	SB I-215-W @ 700 N (OFF RAMP)	1	Off Ramp	No	24756
I215-Counterclockwise	1	Salt Lake		24.43	24.43	.52	112	SB I-215-W @ 1000 N	3	Mainline	No	24405
I215-Counterclockwise	1	Salt Lake		24.90	24.9	.45	111	SB I-215-W @ 1400 N	3	Mainline	No	24448
I215-Counterclockwise	1	Salt Lake		25.33	25.33		1109	EB I-215-W @ 2200 N (ON RAMP)	1	On Ramp	No	24691
I215-Counterclockwise	1	Salt Lake		25.33	25.33	.935	109	SB I-215-W @ 2200 N	3	Mainline	No	24565
I215-Counterclockwise	1	Salt Lake		26.77	26.77	.92	105	SB I-215-W @ 3000 N	4	Mainline	No	24843
I215-Counterclockwise	1	Davis		27.64	27.64	.835	103	SB I-215-W @ REDWOOD RD	2	Mainline	No	24814
I215-Counterclockwise	1	Davis		27.64	27.64		1103	SB I-215-W @ NORTH REDWOOD RD (O	1	On Ramp	No	24268
I215-Counterclockwise	1	Davis		27.97	27.97	.455	102	SB I-215-W @ REDWOOD RD	2	Mainline	No	24694
I215-Counterclockwise	1	Davis		27.98	27.98		2102	SB I-215-W @ NORTH REDWOOD RD (O	1	Off Ramp	No	24612
I215-Counterclockwise	1	Davis		28.55	28.55	.523	100	WB I-215-W @ 900 W	2	Mainline	No	24754
